,age,mean,std,mode,2.50%,25%,50%,75%,97.50%
626,31.355,3.998191631,1.270566051,3.616446279,2.054597847,3.082384849,3.819869064,4.717173341,6.93554159
627,31.405,3.986983562,1.290330067,3.355302478,2.010439286,3.050383145,3.814654095,4.713100151,6.960597045
628,31.455,3.975376491,1.303057341,3.373303377,1.978692126,3.025894717,3.794881012,4.709895734,7.014910508
629,31.505,3.962813376,1.314094575,3.372442325,1.943239655,3.003004467,3.785959196,4.707298799,7.006860946
630,31.555,3.946672933,1.315207729,3.417595053,1.917361257,2.986850951,3.768369767,4.703456162,6.998526038
631,31.605,3.928564264,1.311898742,3.338327942,1.895815699,2.978694784,3.751145076,4.694475265,6.941377395
632,31.655,3.909090291,1.305128279,3.318260489,1.894265097,2.956301857,3.726798278,4.673333188,6.857913542
633,31.705,3.887489014,1.295788805,3.226429218,1.906647161,2.938572813,3.720050253,4.653405629,6.874808751
634,31.755,3.862002162,1.286022745,3.1881096,1.881062407,2.910707087,3.699073055,4.632012435,6.766576334
635,31.805,3.836900206,1.27743706,3.173928851,1.871554407,2.898454213,3.667811633,4.595333,6.695369368
636,31.855,3.813813206,1.269327621,3.223843402,1.866563388,2.882135401,3.643494006,4.570441334,6.664609674
637,31.905,3.792653799,1.262090096,3.264358431,1.85253865,2.864510955,3.627183377,4.540237505,6.664529855
638,31.955,3.771382739,1.256714131,3.310039452,1.846688075,2.856874443,3.607462875,4.507313819,6.647751805
639,32.005,3.750223658,1.248459576,3.262635503,1.844700812,2.841948594,3.581020723,4.46604609,6.622998674
640,32.055,3.727314775,1.237796514,3.156548249,1.835603925,2.828900856,3.567275399,4.439107872,6.586200353
641,32.105,3.701714658,1.22307147,3.149769824,1.82504148,2.822899151,3.545740929,4.390158762,6.540264565
642,32.155,3.679338963,1.214452188,3.180171386,1.819195968,2.810727075,3.528638429,4.348515505,6.516917764
643,32.205,3.658157966,1.204843051,3.229957602,1.811352945,2.803275328,3.509540969,4.327125597,6.525368183
644,32.255,3.635503116,1.196821006,3.238985946,1.80433081,2.783876198,3.481444966,4.291060784,6.50610378
645,32.305,3.615488245,1.194175304,3.264786481,1.794012723,2.764951608,3.468659248,4.269980956,6.521739322
646,32.355,3.595777553,1.198312858,3.247052432,1.781088967,2.743999513,3.450244857,4.246056182,6.448947924
647,32.405,3.575476559,1.204515923,3.276952993,1.770006643,2.720285103,3.420557948,4.235046956,6.416504726
648,32.455,3.558967721,1.202891768,3.266335658,1.761076739,2.707292344,3.395687776,4.208474346,6.374279684
649,32.505,3.547984132,1.185826097,3.119813418,1.791992447,2.703248917,3.382863474,4.181868721,6.400329892
650,32.555,3.544638728,1.156819033,2.959394512,1.833038869,2.724162073,3.389289046,4.152592208,6.400115455
651,32.605,3.548495569,1.119925466,3.014370903,1.911374861,2.757609674,3.391017002,4.11734608,6.283514535
652,32.655,3.558079825,1.083178813,3.046865414,1.965347157,2.802252164,3.40711631,4.08997883,6.238680557
653,32.705,3.571315437,1.056256771,3.086016053,1.998005798,2.849317788,3.426543207,4.08671031,6.140396704
654,32.755,3.584185637,1.0446564,3.201117725,1.985040456,2.895543746,3.446158135,4.082752752,6.059659023
655,32.805,3.596543888,1.038906549,3.316782728,1.972910589,2.933736523,3.465857326,4.078669156,6.001063962
656,32.855,3.612013465,1.008510065,3.403717752,2.056430783,2.967846176,3.494231058,4.076555699,5.932267648
657,32.905,3.636532329,0.935361312,3.515857744,2.201615857,3.032562645,3.536567344,4.072349875,5.781087238
658,32.955,3.673724646,0.832539781,3.551128373,2.386023563,3.123747149,3.582348924,4.078677973,5.592536415
659,33.005,3.730851063,0.731060496,3.511760247,2.573067817,3.237807658,3.646577086,4.109428113,5.411952437
660,33.055,3.812581675,0.64563119,3.567309467,2.758584527,3.370299226,3.742075801,4.172047803,5.298400305
661,33.105,3.91727995,0.586500984,3.836351921,2.918940103,3.516913805,3.868351833,4.248067855,5.207159701
662,33.155,4.031406015,0.556781037,3.877459044,3.056026844,3.658229076,3.991908494,4.354708919,5.257965009
663,33.205,4.144634197,0.550558054,4.10430461,3.166795379,3.777647599,4.112175729,4.465921056,5.365997795
664,33.255,4.256773301,0.566613305,4.153619174,3.229059377,3.877421961,4.220210483,4.592071608,5.50192818
665,33.305,4.379690251,0.607541935,4.223916249,3.290935352,3.974232247,4.340831592,4.737979087,5.725204681
666,33.355,4.527514035,0.683100332,4.340145378,3.323879551,4.067987697,4.47800021,4.930786529,6.044568933
667,33.405,4.700339227,0.802372175,4.574411956,3.330914027,4.157305706,4.635765831,5.153830742,6.489589863
668,33.455,4.877218216,0.962006428,4.602896435,3.253835206,4.236094356,4.77618987,5.395405352,7.068282892
669,33.505,5.040423159,1.145440651,4.694978136,3.18490165,4.297911692,4.900725339,5.611815349,7.693125432
670,33.555,5.178742944,1.321429396,4.811787014,3.083945947,4.33696572,4.994838121,5.807307722,8.304622004
671,33.605,5.289030234,1.455519904,4.843083709,2.997696422,4.380732258,5.079374042,5.956198052,8.794469631
672,33.655,5.375652807,1.519244896,4.881615057,2.98098406,4.423754345,5.152962089,6.103113202,9.066935593
673,33.705,5.455992968,1.542636606,5.055506453,3.032558677,4.459922477,5.239145479,6.199392321,9.16952258
674,33.755,5.537827785,1.559608658,5.081285447,3.075418123,4.516238795,5.321280488,6.315917868,9.246269998
675,33.805,5.62714176,1.596274436,5.125202964,3.055828198,4.557886204,5.409319068,6.443308099,9.349956377
676,33.855,5.716705953,1.6594853,5.14057814,3.048819701,4.59790703,5.47660238,6.583523701,9.647972186
677,33.905,5.792665467,1.72691263,5.150716239,3.018478904,4.620672948,5.535859293,6.712303414,9.930671953
678,33.955,5.845557476,1.780991801,5.227968299,2.990396152,4.637760618,5.589739999,6.783450448,10.13106922
679,34.005,5.87030706,1.801300576,5.162547104,2.982460491,4.64381678,5.622034397,6.80952192,10.14458494
680,34.055,5.872868739,1.795672487,5.158203677,3.006550158,4.6469931,5.61418962,6.803948233,10.06264574
681,34.105,5.858869426,1.778721733,5.220331633,3.008508689,4.643211458,5.599466265,6.790392103,10.02946615
682,34.155,5.83876146,1.761353922,5.20007501,2.995528198,4.626913136,5.595049497,6.758877601,9.995236449
683,34.205,5.816953504,1.746659422,5.200905379,2.985843018,4.62078575,5.587027391,6.739536123,9.943092417
684,34.255,5.794880857,1.734356938,5.235256339,3.004646774,4.620439306,5.569222159,6.706042372,9.848099747
685,34.305,5.77402877,1.725738143,5.256700477,3.007015124,4.601072879,5.557693121,6.692376913,9.798276204
686,34.355,5.750562343,1.717978017,5.242687308,2.991327249,4.586409501,5.5437674,6.681876484,9.726636196
687,34.405,5.72574403,1.715233579,5.320674708,2.953065335,4.556084516,5.525594037,6.666489738,9.632073255
688,34.455,5.697517427,1.713254832,5.317900512,2.885597474,4.531280889,5.495279419,6.652226478,9.660604357
689,34.505,5.664908679,1.713564311,5.21447232,2.841356236,4.496020678,5.46559769,6.623617011,9.610975527
690,34.555,5.630476989,1.712684985,5.153718197,2.780430738,4.462464792,5.435547811,6.587173477,9.60526511
691,34.605,5.593109786,1.70955404,5.148125924,2.787511678,4.422307677,5.390438766,6.527071251,9.530700133
692,34.655,5.552802499,1.707685928,5.098379207,2.743294117,4.376876268,5.3492327,6.483884823,9.527540895
693,34.705,5.510341874,1.70354107,5.03326892,2.71809948,4.344733529,5.311711486,6.438283922,9.459785655
694,34.755,5.465287493,1.696108522,4.978324695,2.697235468,4.316033407,5.265345004,6.389460967,9.375413723
695,34.805,5.41881086,1.686217041,4.968445702,2.650205793,4.278961376,5.22580682,6.33077472,9.299749272
696,34.855,5.370688763,1.673223261,4.899958373,2.618519159,4.244225959,5.186121381,6.279857465,9.262787439
697,34.905,5.322267905,1.659215895,4.881705693,2.592506358,4.205960789,5.138014626,6.214746163,9.186349748
698,34.955,5.274183592,1.641852659,4.840584812,2.551254478,4.171257548,5.098721446,6.14082712,9.079928926
699,35.005,5.227460662,1.624250936,4.821374871,2.533433312,4.140095014,5.048243739,6.089201895,9.009943955
700,35.055,5.182392597,1.605142497,4.812368378,2.507160006,4.111224293,5.006403123,6.032812118,8.889401303
701,35.105,5.138688443,1.585518923,4.771749986,2.494044396,4.082832998,4.97100641,5.973501673,8.794249991
702,35.155,5.096816457,1.565751955,4.727570398,2.449930949,4.054622689,4.938300541,5.929239451,8.777597521
703,35.205,5.056577967,1.545299502,4.715150235,2.422495079,4.040737157,4.899633412,5.881134119,8.70291874
704,35.255,5.018283889,1.523859328,4.694790157,2.414425538,4.021079036,4.865004913,5.827894441,8.597465734
705,35.305,4.981447442,1.50250596,4.687746827,2.406995165,3.997532501,4.839665775,5.77552545,8.493274781
706,35.355,4.945998622,1.480318687,4.671419907,2.394442344,3.979418899,4.808822449,5.734721539,8.353652718
707,35.405,4.911836204,1.455350951,4.63296448,2.366897324,3.964108209,4.778718101,5.69489702,8.258244835
708,35.455,4.879840652,1.43006035,4.620268379,2.365684492,3.950771969,4.757320626,5.661536217,8.156018274
709,35.505,4.849660684,1.406787152,4.634740296,2.36730814,3.939121755,4.73842054,5.60868287,8.051850134
710,35.555,4.821229008,1.38329446,4.64263732,2.369726737,3.917604797,4.718692327,5.573063456,7.96972004
711,35.605,4.794976585,1.35993886,4.628422963,2.373472364,3.906178143,4.699491229,5.539895784,7.88567547
712,35.655,4.770361679,1.336780235,4.607506365,2.383103835,3.899601686,4.678952599,5.507141509,7.764288275
713,35.705,4.747990184,1.314305007,4.615049084,2.390876759,3.887951359,4.664398411,5.482059663,7.685458949
714,35.755,4.726867398,1.292330971,4.612855432,2.399453018,3.888617505,4.654395878,5.452279912,7.596081949
715,35.805,4.706993662,1.270240147,4.590993136,2.403332693,3.881580475,4.639909422,5.423134911,7.53854252
716,35.855,4.68846951,1.24822488,4.558690043,2.417729731,3.878244221,4.625708038,5.399566332,7.456966369
717,35.905,4.670982952,1.226634916,4.539301329,2.430939366,3.872005414,4.609060461,5.375841573,7.394139343
718,35.955,4.654216729,1.206098242,4.521284893,2.435550091,3.871438518,4.590233296,5.353006365,7.319604865
719,36.005,4.638032795,1.186171197,4.50206474,2.44642053,3.863163241,4.57902937,5.33200842,7.250331633
720,36.055,4.622575259,1.166456585,4.487124544,2.458529881,3.860292607,4.566004807,5.307497298,7.182898683
721,36.105,4.607989879,1.147442215,4.466992201,2.465688481,3.862255579,4.554882267,5.280008915,7.124952087
722,36.155,4.59405352,1.129501223,4.427106173,2.484883401,3.861077837,4.538291018,5.256614358,7.049586276
723,36.205,4.580754518,1.112610818,4.336861246,2.498732479,3.858118252,4.526418817,5.23236595,6.992791113
724,36.255,4.568128837,1.096369963,4.294738529,2.507137155,3.856540215,4.513073866,5.212370742,6.928653521
725,36.305,4.555890759,1.080832379,4.29235164,2.526116141,3.856370275,4.501900221,5.19598558,6.858824129
726,36.355,4.543932621,1.065900099,4.29088174,2.551532407,3.853544267,4.488276698,5.181684213,6.812697005
727,36.405,4.532236597,1.052172804,4.28682196,2.570001874,3.847956981,4.470562297,5.15932222,6.760361035
728,36.455,4.520713648,1.039586677,4.266289555,2.591910858,3.83922938,4.45514682,5.141697945,6.709410947
729,36.505,4.509644456,1.028402166,4.253455753,2.603959043,3.834332926,4.444413583,5.126723651,6.676694572
730,36.555,4.498966083,1.018295655,4.234603453,2.616817392,3.826172091,4.436942334,5.115080426,6.640025041
731,36.605,4.488638807,1.009220576,4.225537964,2.627356587,3.820284573,4.425501999,5.100860426,6.616833584
732,36.655,4.478675561,1.001275965,4.248507429,2.631768504,3.817143115,4.413229731,5.094966403,6.612314889
733,36.705,4.469456822,0.994255318,4.270165859,2.651740487,3.813865321,4.402130621,5.083129783,6.575891226
734,36.755,4.461188237,0.98797612,4.30230953,2.677473706,3.809724419,4.395477077,5.068531986,6.564506624
735,36.805,4.453606742,0.982646431,4.32490296,2.682285612,3.797199365,4.387790692,5.055889488,6.57278521
736,36.855,4.446800215,0.978063902,4.274387221,2.711313161,3.78265388,4.379334815,5.042242719,6.554300964
737,36.905,4.440400834,0.973967368,4.239629936,2.725373198,3.778019964,4.371676276,5.029223118,6.53150456
738,36.955,4.434617724,0.970512231,4.2561956,2.731088574,3.769505057,4.365210713,5.014497367,6.537465498
739,37.005,4.42913909,0.967899537,4.239540227,2.741818984,3.761194708,4.355745577,5.001718119,6.543012718
740,37.055,4.424049116,0.965590157,4.242037725,2.759348983,3.758637634,4.34584552,4.990480529,6.549604617
741,37.105,4.419453547,0.963962594,4.23491829,2.761098338,3.755912699,4.337719571,4.985182156,6.544484256
742,37.155,4.41510215,0.962818988,4.232356607,2.770705781,3.751207983,4.329551579,4.981871717,6.548446067
743,37.205,4.41142494,0.962196572,4.250805392,2.772866628,3.749088503,4.322277248,4.977334292,6.566896123
744,37.255,4.407774495,0.961938508,4.252295595,2.77636463,3.744894621,4.319443218,4.972030903,6.561543999
745,37.305,4.404000097,0.961253112,4.225523588,2.780825016,3.736641355,4.314290431,4.963221763,6.561638113
746,37.355,4.400207164,0.960638853,4.192882712,2.789143904,3.735434134,4.311003555,4.956563074,6.574641057
747,37.405,4.396015308,0.960875012,4.142170069,2.787513412,3.731768997,4.303366919,4.956151427,6.566088515
748,37.455,4.391915158,0.961789099,4.065672815,2.794811926,3.728525658,4.297464015,4.951901792,6.540907234
749,37.505,4.388307059,0.962046546,4.06812395,2.795895375,3.719905059,4.292775038,4.945683,6.528221805
750,37.555,4.383920592,0.960294947,4.069688335,2.802117779,3.711643192,4.284362993,4.943887363,6.521057607
751,37.605,4.379761999,0.958557386,4.086427107,2.803278934,3.707847257,4.280812562,4.938210174,6.536507424
752,37.655,4.376259181,0.956454278,4.126045687,2.819346165,3.701899269,4.274917318,4.932913911,6.538644784
753,37.705,4.372825508,0.953844063,4.179387094,2.817956073,3.697532208,4.268343151,4.924931098,6.548511585
754,37.755,4.369309255,0.950929598,4.173290213,2.827383882,3.691458673,4.263646692,4.918788499,6.539024538
755,37.805,4.365612983,0.948808297,4.133139249,2.826526595,3.688218147,4.265686983,4.914585356,6.527523174
756,37.855,4.361812027,0.946133354,4.035536403,2.831976088,3.683515757,4.266169004,4.910679226,6.500403327
757,37.905,4.357899955,0.944592627,4.014704343,2.838508138,3.677858637,4.257046904,4.902160155,6.510021285
758,37.955,4.353877448,0.941155761,3.986773306,2.83821938,3.680879845,4.253507773,4.898520138,6.495004076
759,38.005,4.350548423,0.938241458,3.936009433,2.827031594,3.678754685,4.24820551,4.900011085,6.505677542
760,38.055,4.346893139,0.93376672,3.936799417,2.830914841,3.674244036,4.241318263,4.885365595,6.484658465
761,38.105,4.343205438,0.930464785,3.931181823,2.836560151,3.672013716,4.237271679,4.876208249,6.475864017
762,38.155,4.339969412,0.928090512,3.929047898,2.843110991,3.674500389,4.230369547,4.876428348,6.441920227
763,38.205,4.337005193,0.926715253,3.93635865,2.842350894,3.672831741,4.224879874,4.874973339,6.453821278
764,38.255,4.333873821,0.926741331,3.91766176,2.84268622,3.672897495,4.219375082,4.869054782,6.452540176
765,38.305,4.331074475,0.925835055,3.969266284,2.844027796,3.668946261,4.209238322,4.878204922,6.433475293
766,38.355,4.328310105,0.924541844,3.98969499,2.844841124,3.663388541,4.20175469,4.876805972,6.404291722
767,38.405,4.326025404,0.922462903,3.972991902,2.842837539,3.661201168,4.200924179,4.866549093,6.391394758
768,38.455,4.323653079,0.92219385,4.015142932,2.841901318,3.656240728,4.197317338,4.866437807,6.4111978
769,38.505,4.321977071,0.922908297,4.02700726,2.84793145,3.653242618,4.196267896,4.865052379,6.435285429
770,38.555,4.321038548,0.923978576,3.898240104,2.843082276,3.660615577,4.197037566,4.854846522,6.463493093
771,38.605,4.319967613,0.924417073,3.90174363,2.854725857,3.657800615,4.19605816,4.854467584,6.444200729
772,38.655,4.318017502,0.923615737,3.915713821,2.852353192,3.660670414,4.192694226,4.85353215,6.442474968
773,38.705,4.316709459,0.923798392,3.96926473,2.852664412,3.654734079,4.185002858,4.855033136,6.414433686
774,38.755,4.315304287,0.923206782,3.987985042,2.858097785,3.65187036,4.188246247,4.848665587,6.39683907
775,38.805,4.313421301,0.922613478,3.953737904,2.855990718,3.651702302,4.190123496,4.832722193,6.43451291
776,38.855,4.311997064,0.922435058,3.952013121,2.864582031,3.653951356,4.188937002,4.832378472,6.401284677
777,38.905,4.312147961,0.921552484,3.995398036,2.879535279,3.653293416,4.191156859,4.831273638,6.402594971
778,38.955,4.313288216,0.920315428,3.996722781,2.869269003,3.650667584,4.191081717,4.83619996,6.403951088
779,39.005,4.313958139,0.92015774,4.031249943,2.851797566,3.650294723,4.18754087,4.843760435,6.414988648
780,39.055,4.313884368,0.920074144,3.983891692,2.867436412,3.656334001,4.188656101,4.845482622,6.46157328
781,39.105,4.312845064,0.920231176,3.947982065,2.868515587,3.657529062,4.189128775,4.845040197,6.475847585
782,39.155,4.310993473,0.921190495,3.945188597,2.875044519,3.655267412,4.187746584,4.841523649,6.453439599
783,39.205,4.310002968,0.923307002,3.929183654,2.861729668,3.656345976,4.19286925,4.834991618,6.456189977
784,39.255,4.309606845,0.926301495,3.945300289,2.849992401,3.655456071,4.188879823,4.834611762,6.469491976
785,39.305,4.310105623,0.92888347,3.9442043,2.85428142,3.655352928,4.192139126,4.820269206,6.485856625
786,39.355,4.311108113,0.929980424,3.941532889,2.854473758,3.656855435,4.190319176,4.826537704,6.49643303
787,39.405,4.312557078,0.929912316,3.930841424,2.854088581,3.651144412,4.19721471,4.840103926,6.482159223
788,39.455,4.314470543,0.930800626,3.928873172,2.840237885,3.659632368,4.201897553,4.844995842,6.470684902
789,39.505,4.31754252,0.931140912,3.91600701,2.838499601,3.659341156,4.205312224,4.843516713,6.451806348
790,39.555,4.31992735,0.930827523,3.912474582,2.840196203,3.659765633,4.210686304,4.849352345,6.429829066
791,39.605,4.322627602,0.930628619,3.918114262,2.838416083,3.664917012,4.214053243,4.857598772,6.423521592
792,39.655,4.325942314,0.931814661,3.946948458,2.844188817,3.667695852,4.214041516,4.859573432,6.43670231
793,39.705,4.32942794,0.933167403,3.981900403,2.832194902,3.668919858,4.216620204,4.857838444,6.454183745
