0.9238,0.9118,0.9635,1.0261,1.0625,1.0384,0.9738,0.9426,0.9728
0.9960,0.9973,1.0267,1.0827,1.1184,1.0983,1.0492,1.0127,1.0191
1.0407,1.0179,0.9833,0.9732,0.9511,0.9016,0.8462,0.7863,0.7011
0.6144,0.5557,0.4998,0.4277,0.3778,0.3313,0.2510,0.1731,0.1451
0.1653,0.2109,0.2560,0.2687,0.2704,0.2980,0.3277,0.3596,0.3682
0.3407,0.3244,0.3320,0.3433,0.3463,0.3441,0.3337,0.3306,0.3232
0.3173,0.3351,0.3984,0.4924,0.5352,0.5488,0.5589,0.5932,0.6342
0.6493,0.6535,0.6215,0.5752,0.5824,0.6217,0.6227,0.6105,0.5930
0.5942,0.6109,0.5987,0.5705,0.5696,0.5681,0.5650,0.5938,0.6320
0.6442,0.6255,0.6190,0.6527,0.6718,0.6830,0.6861,0.7227,0.7226
0.7002,0.7322,0.7443,0.7032,0.6295,0.6308,0.6691,0.6790,0.6894
0.6952,0.6930,0.7014,0.7139,0.7269,0.7324,0.6783,0.5592,0.5678
0.6658,0.6797,0.6302,0.5955,0.5809,0.5634,0.5505,0.5053,0.4641
0.4533,0.4429,0.4453,0.4847,0.5131,0.4876,0.4524,0.4367,0.4459
0.4664,0.4811,0.4684,0.4344,0.4017,0.4006,0.3952,0.4120,0.4771
0.5260,0.5018,0.4412,0.3762,0.4066,0.5708,0.6955,0.7437,0.7537
0.7449,0.7610,0.7808,0.7829,0.7857,0.8025,0.8353,0.8767,0.8991
0.8646,0.7502,0.7011,0.7584,0.7900,0.7867,0.7256,0.6208,0.5190
0.4603,0.4740,0.5142,0.5157,0.4446,0.3958,0.3654,0.3917,0.4922
0.5328,0.4953,0.4622,0.4596,0.4356,0.3904,0.3832,0.4011,0.3920
0.3698,0.3628,0.3914,0.4518,0.4982,0.5006,0.4946,0.4929,0.4636
0.4346,0.4322,0.4325,0.4490,0.4958,0.5717,0.5969,0.5552,0.5499
0.5746,0.5892,0.5990,0.6002,0.5882,0.5694,0.5870,0.6206,0.6088
0.5521,0.5097,0.5137,0.5380,0.5621,0.5659,0.5537,0.5449,0.5667
0.6128,0.6407,0.6466,0.6235,0.6040,0.6381,0.6704,0.6740,0.6767
0.6806,0.6745,0.6660,0.6668,0.6605,0.6516,0.6539,0.6527,0.6330
0.5933,0.5443,0.5115,0.4898,0.4698,0.4394,0.3777,0.2997,0.2329
0.2078,0.2091,0.2049,0.2129,0.2404,0.2714,0.3172,0.3833,0.4345
0.4779,0.5305,0.5814,0.6142,0.6177,0.6056,0.5920,0.5760,0.5702
0.5787,0.5973,0.6367,0.6734,0.7048,0.7386,0.7599,0.7752,0.7688
