,mean,age
196,3.222532704419791,49.0
197,3.2857933578201255,49.25
198,3.364485968679787,49.5
199,3.460979316679868,49.75
200,3.574920388459759,50.0
201,3.7048785936600552,50.25
202,3.8478470981599457,50.5
203,4.000039108460101,50.75
204,4.158239797259853,51.0
205,4.322110250360197,51.25
206,4.48881703571999,51.5
207,4.6732780394798965,51.75
208,4.895275730800222,52.0
209,5.159895950700047,52.25
210,5.465588633780044,52.5
211,5.824607998580063,52.75
212,6.237460308060122,53.0
213,6.662011376400187,53.25
214,7.004232752160192,53.5
215,7.148673564780097,53.75
216,7.064573950279851,54.0
217,6.842422876099931,54.25
218,6.58333130443998,54.5
219,6.3777344506199825,54.75
220,6.28060274174004,55.0
221,6.300546169200061,55.25
222,6.384005578119968,55.5
223,6.374639736020072,55.75
