,median,age
196,3.1957844653001075,49.0
197,3.2720670747199847,49.25
198,3.365933154520121,49.5
199,3.483625032920031,49.75
200,3.613803724299828,50.0
201,3.758279568999683,50.25
202,3.9131890979799664,50.5
203,4.074026182640068,50.75
204,4.232024314040018,51.0
205,4.395013369159983,51.25
206,4.565178330360027,51.5
207,4.78129137652013,51.75
208,5.043961690040078,52.0
209,5.329269198360066,52.25
210,5.666371336860038,52.5
211,6.07872181496009,52.75
212,6.543866142040088,53.0
213,6.984352464040057,53.25
214,7.196426153139669,53.5
215,7.123549776399955,53.75
216,6.869460938199836,54.0
217,6.597013519000029,54.25
218,6.3916064481002195,54.5
219,6.290116743100043,54.75
220,6.295329896920066,55.0
221,6.375053126600051,55.25
222,6.390947517439827,55.5
223,6.234101190800175,55.75
