Generated using GEOMAGIA50.v3.3 on Oct/06/2022,,,,,,,,,,,,,,,,,,,
Age[yr.AD],Sigma-ve[yr.],Sigma+ve[yr.],VADM[E22_AmE2],SigmaVADM[E22_AmE2],SiteLat[deg.],SiteLon[deg.],ArcheoVolcanic,,,,,,,,,,,,
-37000,7000,7000,3.28,0.27,30.4856,243.8961,Volcanic,,,,,,,,,,,,
-37000,7000,7000,3.11,0.39,30.4856,243.8961,Volcanic,,,,,,,,,,,,
-36993,-1,-1,6.28,0.16,19.483,205.1,Volcanic,,,,,,,,,,,,
-36700,-1,-1,6.85,0.34,19.47,205.1,Volcanic,,,,,,,,,,,,
-36600,-1,-1,6.34,0.56,19.47,205.1,Volcanic,,,,,,,,,,,,
-36517,-1,-1,7.35,0.36,19.483,205.1,Volcanic,,,,,,,,,,,,
-36500,-1,-1,4.08,-999,19.47,205.1,Volcanic,,,,,,,,,,,,
-36424,-1,-1,5.51,0.72,19.4,246.5,Volcanic,,,,,,,,,,,,
-36200,-1,-1,5.53,0.09,19.47,205.1,Volcanic,,,,,,,,,,,,
-36050,11000,11000,0.45,0.09,-36.92,174.85,Volcanic,,,,,,,,,,,,
-36042,-1,-1,3.45,0.56,19.483,205.1,Volcanic,,,,,,,,,,,,
-36022,-1,-1,6.09,0.39,17.4,246.8,Volcanic,,,,,,,,,,,,
-35250,-1,-1,3.78,0.37,19.483,205.1,Volcanic,,,,,,,,,,,,
-35100,-1,-1,3.63,-999,19.47,205.1,Volcanic,,,,,,,,,,,,
-35091,-1,-1,4.59,-999,19.483,205.1,Volcanic,,,,,,,,,,,,
-35091,-1,-1,3.52,0.67,19.483,205.1,Volcanic,,,,,,,,,,,,
-35000,-1,-1,6.56,0.47,19.75,204.92,Volcanic,,,,,,,,,,,,
-34932,-1,-1,3.73,0.41,19.483,205.1,Volcanic,,,,,,,,,,,,
-34772,-1,-1,4.18,2.65,19.483,205.1,Volcanic,,,,,,,,,,,,
-34772,-1,-1,6.31,1.05,19.483,205.1,Volcanic,,,,,,,,,,,,
-34750,5800,5800,5.65,0.94,45.704,2.9168,Volcanic,,,,,,,,,,,,
-34700,-1,-1,3.94,-999,19.47,205.1,Volcanic,,,,,,,,,,,,
-34444,-1,-1,4.33,0.43,19.483,205.1,Volcanic,,,,,,,,,,,,
-34444,-1,-1,7.17,0.72,19.483,205.1,Volcanic,,,,,,,,,,,,
-34300,-1,-1,4.55,-999,19.47,205.1,Volcanic,,,,,,,,,,,,
-34287,-1,-1,3.8,0.1,19.483,205.1,Volcanic,,,,,,,,,,,,
-34129,-1,-1,6.7,1.97,19.483,205.1,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.35,0.02,9.867,255.7081,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.79,0.05,9.2799,255.7819,Volcanic,,,,,,,,,,,,
-34050,34050,34050,6.14,0.05,9.5135,255.7339,Volcanic,,,,,,,,,,,,
